k	5.10	5.15	5.20	10.20	10.30	15.30	courses	sushi	skate	14.9
398	0	0	0	0.64	6.8	14.14	84.76	0	0	
399	0	0	0	0.62	6.76	14.12	84.61	0	0	
400	0	0	0	0.62	6.7	14.08	84.44	0	0	
401	0	0	0	0.61	6.69	14.03	84.29	0	0	
402	0	0	0	0.57	6.64	14.00	84.17	0	0	
403	0	0	0	0.56	6.63	13.96	84	0	0	
404	0	0	0	0.55	6.6	13.94	83.86	0	0	
405	0	0	0	0.53	6.55	13.92	83.69	0	0	
406	0	0	0	0.52	6.52	13.90	83.52	0	0	
407	0	0	0	0.5	6.49	13.86	83.37	0	0	
408	0	0	0	0.49	6.47	13.79	83.2	0	0	
409	0	0	0	0.47	6.46	13.77	83.04	0	0	
410	0	0	0	0.47	6.42	13.70	82.91	0	0	
411	0	0	0	0.45	6.39	13.65	82.74	0	0	
412	0	0	0	0.43	6.37	13.59	82.57	0	0	
413	0	0	0	0.43	6.3	13.57	82.42	0	0	
414	0	0	0	0.41	6.3	13.51	82.25	0	0	
415	0	0	0	0.38	6.27	13.51	82.1	0	0	
416	0	0	0	0.36	6.25	13.47	81.96	0	0	
417	0	0	0	0.36	6.23	13.44	81.82	0	0	
418	0	0	0	0.33	6.19	13.38	81.67	0	0	
419	0	0	0	0.31	6.18	13.35	81.5	0	0	
420	0	0	0	0.3	6.16	13.31	81.36	0	0	
421	0	0	0	0.27	6.11	13.26	81.2	0	0	
422	0	0	0	0.27	6.11	13.22	81.02	0	0	
423	0	0	0	0.26	6.11	13.21	80.89	0	0	
424	0	0	0	0.25	6.08	13.17	80.75	0	0	
425	0	0	0	0.23	6.06	13.12	80.57	0	0	
426	0	0	0	0.21	6.02	13.09	80.46	0	0	
427	0	0	0	0.21	6.01	13.06	80.3	0	0	
428	0	0	0	0.19	6.01	13.04	80.12	0	0	
429	0	0	0	0.17	5.95	13.01	79.96	0	0	
430	0	0	0	0.17	5.91	13.00	79.81	0	0	
431	0	0	0	0.16	5.89	12.98	79.62	0	0	
432	0	0	0	0.15	5.86	12.98	79.49	0	0	
433	0	0	0	0.15	5.82	12.95	79.35	0	0	
434	0	0	0	0.11	5.79	12.94	79.19	0	0	
435	0	0	0	0.08	5.76	12.93	79.05	0	0	
436	0	0	0	0.07	5.72	12.90	78.89	0	0	
437	0	0	0	0.06	5.66	12.89	78.74	0	0	
438	0	0	0	0.06	5.64	12.87	78.59	0	0	
439	0	0	0	0.06	5.6	12.84	78.42	0	0	
440	0	0	0	0.06	5.59	12.84	78.29	0	0	
441	0	0	0	0.06	5.54	12.82	78.14	0	0	
442	0	0	0	0.06	5.52	12.80	77.99	0	0	
443	0	0	0	0.05	5.5	12.78	77.85	0	0	
444	0	0	0	0.04	5.49	12.74	77.67	0	0	
445	0	0	0	0.04	5.46	12.72	77.5	0	0	
446	0	0	0	0.04	5.42	12.69	77.35	0	0	
447	0	0	0	0.04	5.39	12.67	77.19	0	0	
448	0	0	0	0.04	5.38	12.67	77.06	0	0	
449	0	0	0	0.04	5.36	12.62	76.9	0	0	
450	0	0	0	0.04	5.36	12.61	76.75	0	0	
451	0	0	0	0.03	5.33	12.59	76.59	0	0	
452	0	0	0	0.03	5.27	12.55	76.47	0	0	
453	0	0	0	0.03	5.24	12.52	76.29	0	0	
454	0	0	0	0.03	5.17	12.46	76.14	0	0	
455	0	0	0	0.03	5.16	12.44	75.97	0	0	
456	0	0	0	0.03	5.15	12.43	75.85	0	0	
457	0	0	0	0.02	5.1	12.39	75.7	0	0	
458	0	0	0	0.02	5.06	12.37	75.54	0	0	
459	0	0	0	0.02	5.03	12.37	75.39	0	0	
460	0	0	0	0.02	5.02	12.36	75.25	0	0	
461	0	0	0	0.02	5.01	12.35	75.06	0	0	
462	0	0	0	0.02	5	12.32	74.92	0	0	
463	0	0	0	0.01	4.97	12.32	74.79	0	0	
464	0	0	0	0	4.93	12.26	74.62	0	0	
465	0	0	0	0	4.85	12.24	74.45	0	0	
466	0	0	0	0	4.83	12.22	74.29	0	0	
467	0	0	0	0	4.81	12.20	74.12	0	0	
468	0	0	0	0	4.74	12.18	74	0	0	
469	0	0	0	0	4.69	12.16	73.81	0	0	
470	0	0	0	0	4.67	12.13	73.7	0	0	
471	0	0	0	0	4.64	12.11	73.55	0	0	
472	0	0	0	0	4.64	12.10	73.41	0	0	
473	0	0	0	0	4.63	12.09	73.24	0	0	
474	0	0	0	0	4.63	12.06	73.07	0	0	
475	0	0	0	0	4.61	12.04	72.94	0	0	
476	0	0	0	0	4.56	12	72.77	0	0	
477	0	0	0	0	4.52	11.97	72.61	0	0	
478	0	0	0	0	4.48	11.95	72.47	0	0	
479	0	0	0	0	4.43	11.92	72.32	0	0	
480	0	0	0	0	4.43	11.91	72.19	0	0	
481	0	0	0	0	4.41	11.88	72.02	0	0	
482	0	0	0	0	4.37	11.84	71.86	0	0	
483	0	0	0	0	4.31	11.82	71.71	0	0	
484	0	0	0	0	4.25	11.78	71.55	0	0	
485	0	0	0	0	4.24	11.77	71.37	0	0	
486	0	0	0	0	4.19	11.74	71.2	0	0	
487	0	0	0	0	4.15	11.73	71.05	0	0	
488	0	0	0	0	4.13	11.70	70.91	0	0	
489	0	0	0	0	4.1	11.66	70.75	0	0	
490	0	0	0	0	4.08	11.62	70.59	0	0	
491	0	0	0	0	4.01	11.61	70.42	0	0	
492	0	0	0	0	3.99	11.57	70.29	0	0	
493	0	0	0	0	3.98	11.54	70.14	0	0	
494	0	0	0	0	3.97	11.52	70	0	0	
495	0	0	0	0	3.93	11.51	69.86	0	0	
496	0	0	0	0	3.91	11.49	69.72	0	0	
497	0	0	0	0	3.88	11.47	69.54	0	0	
498	0	0	0	0	3.87	11.44	69.39	0	0	
499	0	0	0	0	3.86	11.43	69.22	0	0	
500	0	0	0	0	3.86	11.42	69.07	0	0	
501	0	0	0	0	3.86	11.41	68.91	0	0	
502	0	0	0	0	3.78	11.39	68.75	0	0	
503	0	0	0	0	3.78	11.38	68.61	0	0	
504	0	0	0	0	3.76	11.37	68.46	0	0	
505	0	0	0	0	3.75	11.36	68.3	0	0	
506	0	0	0	0	3.72	11.33	68.14	0	0	
507	0	0	0	0	3.71	11.31	67.97	0	0	
508	0	0	0	0	3.69	11.31	67.82	0	0	
509	0	0	0	0	3.66	11.28	67.66	0	0	
510	0	0	0	0	3.63	11.26	67.5	0	0	
511	0	0	0	0	3.62	11.23	67.36	0	0	
512	0	0	0	0	3.53	11.21	67.24	0	0	
513	0	0	0	0	3.51	11.20	67.04	0	0	
514	0	0	0	0	3.51	11.19	66.9	0	0	
515	0	0	0	0	3.48	11.19	66.72	0	0	
516	0	0	0	0	3.44	11.18	66.57	0	0	
517	0	0	0	0	3.42	11.15	66.4	0	0	
518	0	0	0	0	3.37	11.12	66.25	0	0	
519	0	0	0	0	3.33	11.10	66.1	0	0	
520	0	0	0	0	3.31	11.06	65.96	0	0	
521	0	0	0	0	3.29	11.04	65.77	0	0	
522	0	0	0	0	3.27	11.02	65.64	0	0	
523	0	0	0	0	3.25	11	65.46	0	0	
524	0	0	0	0	3.2	10.97	65.34	0	0	
525	0	0	0	0	3.13	10.93	65.17	0	0	
526	0	0	0	0	3.07	10.92	65.04	0	0	
527	0	0	0	0	3.02	10.92	64.92	0	0	
528	0	0	0	0	2.96	10.86	64.76	0	0	
529	0	0	0	0	2.93	10.84	64.57	0	0	
530	0	0	0	0	2.91	10.82	64.44	0	0	
531	0	0	0	0	2.89	10.80	64.27	0	0	
532	0	0	0	0	2.88	10.76	64.15	0	0	
533	0	0	0	0	2.85	10.74	63.96	0	0	
534	0	0	0	0	2.83	10.71	63.81	0	0	
535	0	0	0	0	2.82	10.70	63.69	0	0	
536	0	0	0	0	2.77	10.70	63.51	0	0	
537	0	0	0	0	2.75	10.69	63.32	0	0	
538	0	0	0	0	2.69	10.65	63.2	0	0	
539	0	0	0	0	2.66	10.61	63.01	0	0	
540	0	0	0	0	2.64	10.61	62.89	0	0	
541	0	0	0	0	2.59	10.58	62.71	0	0	
542	0	0	0	0	2.56	10.58	62.59	0	0	
543	0	0	0	0	2.5	10.57	62.44	0	0	
544	0	0	0	0	2.5	10.53	62.29	0	0	
545	0	0	0	0	2.48	10.52	62.12	0	0	
546	0	0	0	0	2.46	10.52	61.96	0	0	
547	0	0	0	0	2.41	10.51	61.79	0	0	
548	0	0	0	0	2.37	10.47	61.65	0	0	
549	0	0	0	0	2.33	10.43	61.5	0	0	
550	0	0	0	0	2.3	10.39	61.36	0	0	
551	0	0	0	0	2.29	10.35	61.21	0	0	
552	0	0	0	0	2.27	10.33	61.07	0	0	
553	0	0	0	0	2.25	10.31	60.89	0	0	
554	0	0	0	0	2.19	10.29	60.72	0	0	
555	0	0	0	0	2.18	10.29	60.54	0	0	
556	0	0	0	0	2.18	10.28	60.42	0	0	
557	0	0	0	0	2.15	10.28	60.25	0	0	
558	0	0	0	0	2.14	10.26	60.1	0	0	
559	0	0	0	0	2.1	10.25	59.95	0	0	
560	0	0	0	0	2.08	10.21	59.8	0	0	
561	0	0	0	0	2.07	10.20	59.64	0	0	
562	0	0	0	0	2.05	10.18	59.51	0	0	
563	0	0	0	0	2.04	10.15	59.34	0	0	
564	0	0	0	0	1.98	10.13	59.19	0	0	
565	0	0	0	0	1.95	10.13	59.01	0	0	
566	0	0	0	0	1.94	10.08	58.86	0	0	
567	0	0	0	0	1.93	10.07	58.7	0	0	
568	0	0	0	0	1.9	10.03	58.56	0	0	
569	0	0	0	0	1.88	9.99	58.4	0	0	
570	0	0	0	0	1.87	9.97	58.29	0	0	
571	0	0	0	0	1.86	9.95	58.09	0	0	
572	0	0	0	0	1.84	9.93	57.95	0	0	
573	0	0	0	0	1.8	9.92	57.77	0	0	
574	0	0	0	0	1.78	9.89	57.64	0	0	
575	0	0	0	0	1.73	9.87	57.52	0	0	
576	0	0	0	0	1.73	9.87	57.35	0	0	
577	0	0	0	0	1.72	9.86	57.21	0	0	
578	0	0	0	0	1.71	9.86	57.06	0	0	
579	0	0	0	0	1.68	9.85	56.86	0	0	
580	0	0	0	0	1.67	9.85	56.72	0	0	
581	0	0	0	0	1.65	9.83	56.55	0	0	
582	0	0	0	0	1.64	9.83	56.4	0	0	
583	0	0	0	0	1.62	9.81	56.24	0	0	
584	0	0	0	0	1.59	9.80	56.1	0	0	
585	0	0	0	0	1.56	9.76	55.92	0	0	
586	0	0	0	0	1.52	9.75	55.76	0	0	
587	0	0	0	0	1.5	9.73	55.57	0	0	
588	0	0	0	0	1.45	9.73	55.45	0	0	
589	0	0	0	0	1.43	9.72	55.29	0	0	
590	0	0	0	0	1.41	9.69	55.17	0	0	
591	0	0	0	0	1.4	9.69	55	0	0	
592	0	0	0	0	1.39	9.67	54.86	0	0	
593	0	0	0	0	1.36	9.67	54.69	0	0	
594	0	0	0	0	1.35	9.63	54.56	0	0	
595	0	0	0	0	1.34	9.62	54.41	0	0	
596	0	0	0	0	1.33	9.62	54.27	0	0	
597	0	0	0	0	1.31	9.62	54.07	0	0	
598	0	0	0	0	1.28	9.59	53.92	0	0	
599	0	0	0	0	1.25	9.57	53.75	0	0	
600	0	0	0	0	1.22	9.55	53.62	0	0	
601	0	0	0	0	1.22	9.55	53.46	0	0	
602	0	0	0	0	1.2	9.54	53.31	0	0	
603	0	0	0	0	1.19	9.45	53.17	0	0	
604	0	0	0	0	1.19	9.41	53.04	0	0	
605	0	0	0	0	1.19	9.37	52.86	0	0	
606	0	0	0	0	1.17	9.34	52.7	0	0	
607	0	0	0	0	1.14	9.33	52.56	0	0	
608	0	0	0	0	1.12	9.31	52.41	0	0	
609	0	0	0	0	1.11	9.29	52.24	0	0	
610	0	0	0	0	1.09	9.27	52.07	0	0	
611	0	0	0	0	1.09	9.26	51.9	0	0	
612	0	0	0	0	1.06	9.24	51.79	0	0	
613	0	0	0	0	1.05	9.20	51.6	0	0	
614	0	0	0	0	1.05	9.19	51.49	0	0	
615	0	0	0	0	1.01	9.17	51.32	0	0	
616	0	0	0	0	1.01	9.15	51.19	0	0	
617	0	0	0	0	0.98	9.14	51.04	0	0	
618	0	0	0	0	0.98	9.12	50.89	0	0	
619	0	0	0	0	0.98	9.12	50.75	0	0	
620	0	0	0	0	0.97	9.10	50.61	0	0	
621	0	0	0	0	0.92	9.08	50.44	0	0	
622	0	0	0	0	0.91	9.07	50.29	0	0	
623	0	0	0	0	0.89	9.04	50.11	0	0	
624	0	0	0	0	0.88	9.01	49.97	0	0	
625	0	0	0	0	0.87	9.01	49.81	0	0	
626	0	0	0	0	0.85	8.99	49.67	0	0	
627	0	0	0	0	0.84	8.95	49.49	0	0	
628	0	0	0	0	0.81	8.89	49.36	0	0	
629	0	0	0	0	0.78	8.87	49.2	0	0	
630	0	0	0	0	0.76	8.86	49.06	0	0	
631	0	0	0	0	0.75	8.82	48.89	0	0	
632	0	0	0	0	0.74	8.75	48.74	0	0	
633	0	0	0	0	0.74	8.72	48.6	0	0	
634	0	0	0	0	0.73	8.70	48.44	0	0	
635	0	0	0	0	0.72	8.64	48.26	0	0	
636	0	0	0	0	0.72	8.62	48.14	0	0	
637	0	0	0	0	0.71	8.61	47.96	0	0	
638	0	0	0	0	0.71	8.60	47.81	0	0	
639	0	0	0	0	0.7	8.60	47.65	0	0	
640	0	0	0	0	0.7	8.57	47.52	0	0	
641	0	0	0	0	0.69	8.49	47.35	0	0	
642	0	0	0	0	0.69	8.47	47.19	0	0	
643	0	0	0	0	0.69	8.42	47.02	0	0	
644	0	0	0	0	0.66	8.37	46.91	0	0	
645	0	0	0	0	0.65	8.33	46.75	0	0	
646	0	0	0	0	0.65	8.31	46.57	0	0	
647	0	0	0	0	0.63	8.26	46.44	0	0	
648	0	0	0	0	0.62	8.21	46.3	0	0	
649	0	0	0	0	0.6	8.17	46.19	0	0	
650	0	0	0	0	0.6	8.14	45.97	0	0	
651	0	0	0	0	0.6	8.12	45.82	0	0	
652	0	0	0	0	0.58	8.08	45.7	0	0	
653	0	0	0	0	0.58	8.04	45.54	0	0	
654	0	0	0	0	0.57	8	45.35	0	0	
655	0	0	0	0	0.57	7.96	45.19	0	0	
656	0	0	0	0	0.56	7.92	45.06	0	0	
657	0	0	0	0	0.56	7.90	44.89	0	0	
658	0	0	0	0	0.56	7.88	44.71	0	0	
659	0	0	0	0	0.54	7.85	44.56	0	0	
660	0	0	0	0	0.53	7.82	44.41	0	0	
661	0	0	0	0	0.53	7.81	44.26	0	0	
662	0	0	0	0	0.51	7.79	44.12	0	0	
663	0	0	0	0	0.49	7.77	43.96	0	0	
664	0	0	0	0	0.49	7.76	43.81	0	0	
665	0	0	0	0	0.49	7.74	43.65	0	0	
666	0	0	0	0	0.47	7.73	43.49	0	0	
667	0	0	0	0	0.46	7.70	43.32	0	0	
668	0	0	0	0	0.46	7.67	43.19	0	0	
669	0	0	0	0	0.46	7.67	43.04	0	0	
670	0	0	0	0	0.46	7.65	42.89	0	0	
671	0	0	0	0	0.43	7.62	42.7	0	0	
672	0	0	0	0	0.41	7.58	42.55	0	0	
673	0	0	0	0	0.41	7.55	42.39	0	0	
674	0	0	0	0	0.39	7.53	42.24	0	0	
675	0	0	0	0	0.38	7.48	42.07	0	0	
676	0	0	0	0	0.36	7.44	41.94	0	0	
677	0	0	0	0	0.34	7.43	41.79	0	0	
678	0	0	0	0	0.33	7.41	41.61	0	0	
679	0	0	0	0	0.31	7.39	41.47	0	0	
680	0	0	0	0	0.3	7.37	41.32	0	0	
681	0	0	0	0	0.3	7.36	41.17	0	0	
682	0	0	0	0	0.28	7.33	41.04	0	0	
683	0	0	0	0	0.28	7.33	40.86	0	0	
684	0	0	0	0	0.28	7.31	40.72	0	0	
685	0	0	0	0	0.28	7.31	40.59	0	0	
686	0	0	0	0	0.28	7.29	40.45	0	0	
687	0	0	0	0	0.28	7.27	40.3	0	0	
688	0	0	0	0	0.27	7.25	40.16	0	0	
689	0	0	0	0	0.25	7.25	39.97	0	0	
690	0	0	0	0	0.25	7.25	39.82	0	0	
691	0	0	0	0	0.25	7.24	39.67	0	0	
692	0	0	0	0	0.25	7.22	39.56	0	0	
693	0	0	0	0	0.25	7.18	39.39	0	0	
694	0	0	0	0	0.24	7.17	39.25	0	0	
695	0	0	0	0	0.24	7.17	39.1	0	0	
696	0	0	0	0	0.24	7.16	38.94	0	0	
697	0	0	0	0	0.24	7.14	38.79	0	0	
698	0	0	0	0	0.23	7.14	38.62	0	0	
699	0	0	0	0	0.23	7.12	38.42	0	0	
700	0	0	0	0	0.22	7.09	38.29	0	0	
701	0	0	0	0	0.21	7.05	38.14	0	0	
702	0	0	0	0	0.21	7.03	38	0	0	
703	0	0	0	0	0.2	7.03	37.85	0	0	
704	0	0	0	0	0.19	7.02	37.69	0	0	
705	0	0	0	0	0.19	7.02	37.54	0	0	
706	0	0	0	0	0.17	6.98	37.37	0	0	
707	0	0	0	0	0.17	6.95	37.2	0	0	
708	0	0	0	0	0.17	6.95	37.07	0	0	
709	0	0	0	0	0.17	6.93	36.9	0	0	
710	0	0	0	0	0.17	6.93	36.76	0	0	
711	0	0	0	0	0.17	6.92	36.61	0	0	
712	0	0	0	0	0.16	6.90	36.45	0	0	
713	0	0	0	0	0.15	6.89	36.3	0	0	
714	0	0	0	0	0.14	6.87	36.16	0	0	
715	0	0	0	0	0.14	6.86	35.95	0	0	
716	0	0	0	0	0.13	6.86	35.81	0	0	
717	0	0	0	0	0.13	6.85	35.65	0	0	
718	0	0	0	0	0.13	6.82	35.51	0	0	
719	0	0	0	0	0.12	6.82	35.37	0	0	
720	0	0	0	0	0.12	6.82	35.22	0	0	
721	0	0	0	0	0.12	6.82	35.06	0	0	
722	0	0	0	0	0.12	6.80	34.92	0	0	
723	0	0	0	0	0.12	6.79	34.74	0	0	
724	0	0	0	0	0.11	6.78	34.6	0	0	
725	0	0	0	0	0.11	6.77	34.44	0	0	
726	0	0	0	0	0.1	6.75	34.3	0	0	
727	0	0	0	0	0.1	6.74	34.15	0	0	
728	0	0	0	0	0.1	6.73	33.99	0	0	
729	0	0	0	0	0.1	6.71	33.81	0	0	
730	0	0	0	0	0.1	6.70	33.66	0	0	
731	0	0	0	0	0.1	6.70	33.46	0	0	
732	0	0	0	0	0.09	6.69	33.34	0	0	
733	0	0	0	0	0.09	6.67	33.19	0	0	
734	0	0	0	0	0.09	6.66	33.07	0	0	
735	0	0	0	0	0.09	6.62	32.9	0	0	
736	0	0	0	0	0.09	6.60	32.77	0	0	
737	0	0	0	0	0.09	6.58	32.61	0	0	
738	0	0	0	0	0.09	6.55	32.44	0	0	
739	0	0	0	0	0.08	6.54	32.25	0	0	
740	0	0	0	0	0.08	6.54	32.11	0	0	
741	0	0	0	0	0.07	6.50	31.96	0	0	
742	0	0	0	0	0.06	6.49	31.81	0	0	
743	0	0	0	0	0.05	6.49	31.65	0	0	
744	0	0	0	0	0.04	6.48	31.5	0	0	
745	0	0	0	0	0.03	6.43	31.32	0	0	
746	0	0	0	0	0.03	6.43	31.19	0	0	
747	0	0	0	0	0.02	6.41	31.05	0	0	
748	0	0	0	0	0.01	6.40	30.91	0	0	
749	0	0	0	0	0	6.39	30.76	0	0	
750	0	0	0	0	0	6.38	30.61	0	0	
751	0	0	0	0	0	6.35	30.47	0	0	
752	0	0	0	0	0	6.32	30.31	0	0	
753	0	0	0	0	0	6.29	30.14	0	0	
754	0	0	0	0	0	6.26	29.97	0	0	
755	0	0	0	0	0	6.23	29.79	0	0	
756	0	0	0	0	0	6.21	29.66	0	0	
757	0	0	0	0	0	6.19	29.51	0	0	
758	0	0	0	0	0	6.19	29.36	0	0	
759	0	0	0	0	0	6.18	29.21	0	0	
760	0	0	0	0	0	6.15	29.05	0	0	
761	0	0	0	0	0	6.13	28.9	0	0	
762	0	0	0	0	0	6.09	28.76	0	0	
763	0	0	0	0	0	6.09	28.6	0	0	
764	0	0	0	0	0	6.09	28.46	0	0	
765	0	0	0	0	0	6.08	28.3	0	0	
766	0	0	0	0	0	6.07	28.17	0	0	
767	0	0	0	0	0	6.06	28.01	0	0	
768	0	0	0	0	0	6.05	27.85	0	0	
769	0	0	0	0	0	6.05	27.67	0	0	
770	0	0	0	0	0	6.03	27.51	0	0	
771	0	0	0	0	0	6.01	27.36	0	0	
772	0	0	0	0	0	6.01	27.24	0	0	
773	0	0	0	0	0	5.98	27.1	0	0	
774	0	0	0	0	0	5.96	26.95	0	0	
775	0	0	0	0	0	5.94	26.81	0	0	
776	0	0	0	0	0	5.90	26.61	0	0	
777	0	0	0	0	0	5.89	26.45	0	0	
778	0	0	0	0	0	5.88	26.32	0	0	
779	0	0	0	0	0	5.88	26.17	0	0	
780	0	0	0	0	0	5.85	26.02	0	0	
781	0	0	0	0	0	5.85	25.87	0	0	
782	0	0	0	0	0	5.85	25.72	0	0	
783	0	0	0	0	0	5.84	25.56	0	0	
784	0	0	0	0	0	5.82	25.4	0	0	
785	0	0	0	0	0	5.80	25.24	0	0	
786	0	0	0	0	0	5.79	25.09	0	0	
787	0	0	0	0	0	5.78	24.94	0	0	
788	0	0	0	0	0	5.76	24.81	0	0	
789	0	0	0	0	0	5.74	24.64	0	0	
790	0	0	0	0	0	5.73	24.47	0	0	
791	0	0	0	0	0	5.72	24.34	0	0	
792	0	0	0	0	0	5.70	24.2	0	0	
793	0	0	0	0	0	5.69	24.06	0	0	
794	0	0	0	0	0	5.65	23.92	0	0	
795	0	0	0	0	0	5.62	23.74	0	0	
796	0	0	0	0	0	5.59	23.6	0	0	
797	0	0	0	0	0	5.56	23.44	0	0	
798	0	0	0	0	0	5.53	23.3	0	0	
799	0	0	0	0	0	5.51	23.11	0	0	
800	0	0	0	0	0	5.49	22.95	0	0	
801	0	0	0	0	0	5.47	22.79	0	0	
802	0	0	0	0	0	5.47	22.65	0	0	
803	0	0	0	0	0	5.44	22.46	0	0	
804	0	0	0	0	0	5.43	22.34	0	0	
805	0	0	0	0	0	5.43	22.22	0	0	
806	0	0	0	0	0	5.43	22.04	0	0	
807	0	0	0	0	0	5.40	21.87	0	0	
808	0	0	0	0	0	5.40	21.72	0	0	
809	0	0	0	0	0	5.36	21.56	0	0	
810	0	0	0	0	0	5.34	21.44	0	0	
811	0	0	0	0	0	5.31	21.25	0	0	
812	0	0	0	0	0	5.31	21.15	0	0	
813	0	0	0	0	0	5.29	21	0	0	
814	0	0	0	0	0	5.28	20.82	0	0	
815	0	0	0	0	0	5.25	20.66	0	0	
816	0	0	0	0	0	5.23	20.52	0	0	
817	0	0	0	0	0	5.16	20.36	0	0	
818	0	0	0	0	0	5.11	20.24	0	0	
819	0	0	0	0	0	5.10	20.07	0	0	
820	0	0	0	0	0	5.09	19.94	0	0	
821	0	0	0	0	0	5.06	19.79	0	0	
822	0	0	0	0	0	5.05	19.62	0	0	
823	0	0	0	0	0	5.00	19.45	0	0	
824	0	0	0	0	0	4.97	19.3	0	0	
825	0	0	0	0	0	4.95	19.12	0	0	
826	0	0	0	0	0	4.94	18.99	0	0	
827	0	0	0	0	0	4.91	18.82	0	0	
828	0	0	0	0	0	4.89	18.69	0	0	
829	0	0	0	0	0	4.88	18.52	0	0	
830	0	0	0	0	0	4.85	18.4	0	0	
831	0	0	0	0	0	4.83	18.2	0	0	
832	0	0	0	0	0	4.76	18.09	0	0	
833	0	0	0	0	0	4.73	17.94	0	0	
834	0	0	0	0	0	4.72	17.79	0	0	
835	0	0	0	0	0	4.68	17.62	0	0	
836	0	0	0	0	0	4.66	17.47	0	0	
837	0	0	0	0	0	4.65	17.31	0	0	
838	0	0	0	0	0	4.63	17.19	0	0	
839	0	0	0	0	0	4.60	17.01	0	0	
840	0	0	0	0	0	4.59	16.89	0	0	
841	0	0	0	0	0	4.59	16.7	0	0	
842	0	0	0	0	0	4.58	16.55	0	0	
843	0	0	0	0	0	4.57	16.39	0	0	
844	0	0	0	0	0	4.55	16.24	0	0	
845	0	0	0	0	0	4.52	16.09	0	0	
846	0	0	0	0	0	4.49	15.95	0	0	
847	0	0	0	0	0	4.47	15.76	0	0	
848	0	0	0	0	0	4.43	15.62	0	0	
849	0	0	0	0	0	4.40	15.47	0	0	
850	0	0	0	0	0	4.38	15.29	0	0	
851	0	0	0	0	0	4.35	15.11	0	0	
852	0	0	0	0	0	4.32	15	0	0	
853	0	0	0	0	0	4.27	14.82	0	0	
854	0	0	0	0	0	4.22	14.69	0	0	
855	0	0	0	0	0	4.21	14.5	0	0	
856	0	0	0	0	0	4.20	14.36	0	0	
857	0	0	0	0	0	4.19	14.2	0	0	
858	0	0	0	0	0	4.18	14.05	0	0	
859	0	0	0	0	0	4.16	13.87	0	0	
860	0	0	0	0	0	4.15	13.75	0	0	
861	0	0	0	0	0	4.14	13.6	0	0	
862	0	0	0	0	0	4.12	13.45	0	0	
863	0	0	0	0	0	4.10	13.24	0	0	
864	0	0	0	0	0	4.08	13.11	0	0	
865	0	0	0	0	0	4.05	12.97	0	0	
866	0	0	0	0	0	4.03	12.82	0	0	
867	0	0	0	0	0	4.02	12.65	0	0	
868	0	0	0	0	0	4.01	12.54	0	0	
869	0	0	0	0	0	4.01	12.39	0	0	
870	0	0	0	0	0	3.97	12.22	0	0	
871	0	0	0	0	0	3.94	12.02	0	0	
872	0	0	0	0	0	3.91	11.87	0	0	
873	0	0	0	0	0	3.87	11.74	0	0	
874	0	0	0	0	0	3.85	11.6	0	0	
875	0	0	0	0	0	3.84	11.42	0	0	
876	0	0	0	0	0	3.82	11.3	0	0	
877	0	0	0	0	0	3.82	11.17	0	0	
878	0	0	0	0	0	3.81	11	0	0	
879	0	0	0	0	0	3.79	10.81	0	0	
880	0	0	0	0	0	3.78	10.69	0	0	
881	0	0	0	0	0	3.78	10.54	0	0	
882	0	0	0	0	0	3.77	10.39	0	0	
883	0	0	0	0	0	3.75	10.22	0	0	
884	0	0	0	0	0	3.72	10.09	0	0	
885	0	0	0	0	0	3.70	9.94	0	0	
886	0	0	0	0	0	3.69	9.75	0	0	
887	0	0	0	0	0	3.67	9.59	0	0	
888	0	0	0	0	0	3.66	9.45	0	0	
889	0	0	0	0	0	3.65	9.29	0	0	
890	0	0	0	0	0	3.63	9.16	0	0	
891	0	0	0	0	0	3.60	9.01	0	0	
892	0	0	0	0	0	3.59	8.89	0	0	
893	0	0	0	0	0	3.58	8.72	0	0	
894	0	0	0	0	0	3.57	8.55	0	0	
895	0	0	0	0	0	3.55	8.37	0	0	
896	0	0	0	0	0	3.54	8.21	0	0	
897	0	0	0	0	0	3.53	8.06	0	0	
898	0	0	0	0	0	3.51	7.91	0	0	
899	0	0	0	0	0	3.48	7.74	0	0	
900	0	0	0	0	0	3.45	7.61	0	0	
901	0	0	0	0	0	3.43	7.46	0	0	
902	0	0	0	0	0	3.42	7.32	0	0	
903	0	0	0	0	0	3.41	7.15	0	0	
904	0	0	0	0	0	3.40	7	0	0	
905	0	0	0	0	0	3.39	6.86	0	0	
906	0	0	0	0	0	3.37	6.71	0	0	
907	0	0	0	0	0	3.35	6.55	0	0	
908	0	0	0	0	0	3.34	6.41	0	0	
909	0	0	0	0	0	3.33	6.27	0	0	
910	0	0	0	0	0	3.32	6.11	0	0	
911	0	0	0	0	0	3.29	5.94	0	0	
912	0	0	0	0	0	3.27	5.79	0	0	
913	0	0	0	0	0	3.26	5.64	0	0	
914	0	0	0	0	0	3.24	5.49	0	0	
915	0	0	0	0	0	3.23	5.32	0	0	
916	0	0	0	0	0	3.22	5.2	0	0	
917	0	0	0	0	0	3.21	5.04	0	0	
918	0	0	0	0	0	3.21	4.89	0	0	
919	0	0	0	0	0	3.19	4.72	0	0	
920	0	0	0	0	0	3.18	4.56	0	0	
921	0	0	0	0	0	3.16	4.4	0	0	
922	0	0	0	0	0	3.14	4.25	0	0	
923	0	0	0	0	0	3.14	4.09	0	0	
