k	5.10	5.15	5.20	10.20	10.30	15.30	courses	sushi	skate	14.9
79	0	1.72	5.52	13.13	23.84	25.90	133.97	21.12	2.28	4.7
80	0	1.51	5.52	13.08	23.82	25.84	133.79	21.03	2.18	4.7
81	0	1.36	5.42	13.03	23.73	25.84	133.64	20.89	1.97	4.69
82	0	1.31	5.3	12.95	23.61	25.74	133.47	20.79	1.9	4.69
83	0	1.26	5.09	12.93	23.52	25.65	133.31	20.69	1.82	4.69
84	0	1.16	4.95	12.92	23.36	25.48	133.15	20.65	1.74	4.69
85	0	1.07	4.72	12.92	23.3	25.40	133	20.46	1.64	4.69
86	0	1.02	4.62	12.92	23.29	25.32	132.85	20.38	1.56	4.69
87	0	0.9	4.58	12.88	23.05	25.25	132.7	20.25	1.51	4.49
88	0	0.75	4.39	12.77	23.05	25.22	132.53	20.1	1.47	4.49
89	0	0.72	4.3	12.74	23.04	25.21	132.37	19.94	1.38	4.49
90	0	0.64	4.27	12.7	22.92	25.16	132.21	19.78	1.32	4.49
91	0	0.6	4.07	12.59	22.84	25.14	132.06	19.64	1.16	4.4
92	0	0.55	4.01	12.42	22.77	25.13	131.9	19.52	1.04	4.4
93	0	0.55	3.92	12.25	22.69	25.11	131.74	19.4	0.95	4.35
94	0	0.49	3.8	12.18	22.59	25.11	131.56	19.28	0.82	4.35
95	0	0.4	3.74	12.16	22.45	25.02	131.41	19.08	0.74	4.25
96	0	0.32	3.58	12.13	22.4	24.93	131.25	18.97	0.67	4.25
97	0	0.32	3.48	12.1	22.36	24.90	131.09	18.82	0.59	4.25
98	0	0.28	3.35	12.06	22.27	24.85	130.91	18.7	0.49	4.2
99	0	0.28	3.32	12.01	22.23	24.78	130.77	18.59	0.43	4.2
100	0	0.2	3.04	11.91	22.2	24.71	130.6	18.5	0.38	4.2
101	0	0.2	2.88	11.89	22.18	24.66	130.45	18.37	0.32	4.2
102	0	0.14	2.7	11.87	22.01	24.63	130.27	18.26	0.21	4.2
103	0	0.12	2.61	11.8	21.96	24.57	130.14	18.12	0.12	4.2
104	0	0.1	2.47	11.78	21.88	24.52	129.97	18.06	0	4.2
105	0	0.1	2.4	11.68	21.86	24.34	129.82	18	0	4.17
106	0	0.08	2.33	11.58	21.79	24.29	129.66	17.94	0	4.17
107	0	0.08	2.19	11.44	21.75	24.24	129.5	17.84	0	3.88
108	0	0.06	2.15	11.39	21.59	24.23	129.35	17.65	0	3.87
109	0	0.02	2.04	11.37	21.57	24.19	129.21	17.57	0	3.87
110	0	0.02	1.95	11.3	21.55	24.17	129.07	17.39	0	3.82
111	0	0.02	1.88	11.24	21.31	24.14	128.95	17.31	0	3.82
112	0	0.02	1.84	11.18	21.22	24.13	128.77	17.15	0	3.72
113	0	0.02	1.71	11.1	21.2	23.98	128.61	17.03	0	3.72
114	0	0.02	1.69	11.04	21.12	23.92	128.44	16.92	0	3.62
115	0	0.02	1.61	10.93	20.96	23.89	128.29	16.86	0	3.62
116	0	0.01	1.49	10.87	20.94	23.89	128.12	16.66	0	3.62
117	0	0.01	1.41	10.82	20.89	23.88	127.99	16.56	0	3.62
118	0	0.01	1.34	10.77	20.87	23.84	127.84	16.43	0	3.62
119	0	0	1.28	10.71	20.82	23.83	127.7	16.2	0	3.6
120	0	0	1.23	10.59	20.73	23.79	127.52	16.07	0	3.5
121	0	0	1.17	10.51	20.69	23.77	127.36	15.95	0	3.5
122	0	0	1.16	10.45	20.61	23.73	127.17	15.84	0	3.5
123	0	0	1.05	10.38	20.59	23.73	127.01	15.77	0	3.5
124	0	0	0.99	10.31	20.56	23.70	126.85	15.68	0	3.5
125	0	0	0.97	10.24	20.51	23.55	126.7	15.58	0	3.44
126	0	0	0.87	10.21	20.47	23.53	126.55	15.48	0	3.44
127	0	0	0.76	10.2	20.38	23.53	126.4	15.37	0	3.44
128	0	0	0.67	10.17	20.27	23.49	126.24	15.25	0	3.44
129	0	0	0.62	10.17	20.21	23.41	126.04	15.14	0	3.35
130	0	0	0.6	10.17	20.12	23.41	125.87	15	0	3.35
131	0	0	0.45	10.14	20.06	23.38	125.7	14.82	0	3.33
132	0	0	0.42	10.03	19.94	23.35	125.54	14.69	0	3.29
133	0	0	0.39	9.94	19.87	23.27	125.4	14.43	0	3.29
134	0	0	0.35	9.93	19.86	23.10	125.25	14.34	0	3.29
