k	5.10	5.15	5.20	10.20	10.30	15.30	courses	sushi	skate	14.9
58	0.124	0.3073333333	0.4185	0.742	0.8406666667	0.9010666667	0.9402739726	0.7926666667	0.4777777778	0.6655555556
59	0.118	0.3006666667	0.4155	0.7405	0.8356666667	0.8957	0.9391780822	0.7903333333	0.4644444444	0.66
60	0.106	0.288	0.4025	0.738	0.833	0.8915333333	0.9380136986	0.7873333333	0.4511111111	0.6566666667
61	0.098	0.2773333333	0.396	0.737	0.8306666667	0.8893	0.9369863014	0.783	0.4411111111	0.6488888889
62	0.082	0.2706666667	0.391	0.732	0.8283333333	0.8876	0.9358219178	0.781	0.43	0.6311111111
63	0.069	0.2666666667	0.3795	0.729	0.8276666667	0.885	0.9346575342	0.7753333333	0.4222222222	0.6277777778
64	0.057	0.2533333333	0.3785	0.7255	0.824	0.8823333333	0.9332191781	0.7733333333	0.41	0.6233333333
65	0.05	0.25	0.3725	0.7185	0.823	0.8818333333	0.9319863014	0.77	0.4011111111	0.6222222222
66	0.048	0.2386666667	0.36	0.715	0.8203333333	0.8815666667	0.9310958904	0.7653333333	0.3911111111	0.62
67	0.039	0.2353333333	0.3545	0.712	0.8203333333	0.8799666667	0.9298630137	0.7586666667	0.3822222222	0.6144444444
68	0.032	0.2293333333	0.343	0.7075	0.8186666667	0.8776333333	0.9286986301	0.7543333333	0.3722222222	0.6022222222
69	0.027	0.214	0.339	0.7045	0.8186666667	0.8764666667	0.9278082192	0.7496666667	0.36	0.5988888889
70	0.02	0.202	0.3355	0.7015	0.818	0.8760666667	0.9268493151	0.747	0.3455555556	0.5966666667
71	0.013	0.186	0.3335	0.6965	0.8173333333	0.8754333333	0.9259589041	0.7416666667	0.3333333333	0.5966666667
72	0.012	0.178	0.3265	0.6925	0.8146666667	0.8734333333	0.9246575342	0.7373333333	0.3266666667	0.5844444444
73	0.008	0.1713333333	0.317	0.6905	0.8106666667	0.8712666667	0.9236986301	0.736	0.3177777778	0.58
74	0.004	0.1586666667	0.312	0.6865	0.806	0.8704	0.9226712329	0.7306666667	0.31	0.5777777778
75	0.003	0.1546666667	0.309	0.677	0.8026666667	0.8688666667	0.9215068493	0.7253333333	0.2988888889	0.5766666667
76	0	0.136	0.303	0.6705	0.8023333333	0.8684	0.9202054795	0.7186666667	0.2922222222	0.5733333333
77	0	0.128	0.2925	0.6655	0.798	0.8669666667	0.9191780822	0.7143333333	0.28	0.57
78	0	0.118	0.2845	0.661	0.7963333333	0.8649333333	0.9183561644	0.708	0.2666666667	0.57
79	0	0.1146666667	0.276	0.6565	0.7946666667	0.8632666667	0.9176027397	0.704	0.2555555556	0.57
80	0	0.1006666667	0.276	0.654	0.794	0.8613333333	0.916369863	0.701	0.2433333333	0.5655555556
81	0	0.0906666667	0.271	0.6515	0.791	0.8613333333	0.9153424658	0.6963333333	0.2333333333	0.5522222222
82	0	0.0873333333	0.265	0.6475	0.787	0.858	0.9141780822	0.693	0.2211111111	0.5455555556
83	0	0.084	0.2545	0.6465	0.784	0.855	0.9130821918	0.6896666667	0.21	0.5366666667
84	0	0.0773333333	0.2475	0.646	0.7786666667	0.8494333333	0.9119863014	0.6883333333	0.2011111111	0.5355555556
85	0	0.0713333333	0.236	0.646	0.7766666667	0.8467666667	0.9109589041	0.682	0.1933333333	0.5333333333
86	0	0.068	0.231	0.646	0.7763333333	0.8441	0.9099315068	0.6793333333	0.1855555556	0.53
87	0	0.06	0.229	0.644	0.7683333333	0.8415	0.9089041096	0.675	0.1777777778	0.5277777778
88	0	0.05	0.2195	0.6385	0.7683333333	0.8405666667	0.907739726	0.67	0.17	0.5222222222
89	0	0.048	0.215	0.637	0.768	0.8403	0.9066438356	0.6646666667	0.16	0.52
90	0	0.0426666667	0.2135	0.635	0.764	0.8388	0.9055479452	0.6593333333	0.1455555556	0.5144444444
91	0	0.04	0.2035	0.6295	0.7613333333	0.8379333333	0.9045205479	0.6546666667	0.1355555556	0.51
92	0	0.0366666667	0.2005	0.621	0.759	0.8378	0.9034246575	0.6506666667	0.1211111111	0.5066666667
93	0	0.0366666667	0.196	0.6125	0.7563333333	0.8369333333	0.9023287671	0.6466666667	0.1088888889	0.5055555556
94	0	0.0326666667	0.19	0.609	0.753	0.8368666667	0.9010958904	0.6426666667	0.1	0.5055555556
95	0	0.0266666667	0.187	0.608	0.7483333333	0.834	0.9000684932	0.636	0.09	0.5011111111
96	0	0.0213333333	0.179	0.6065	0.7466666667	0.8311	0.8989726027	0.6323333333	0.0788888889	0.5011111111
97	0	0.0213333333	0.174	0.605	0.7453333333	0.83	0.8978767123	0.6273333333	0.07	0.5011111111
98	0	0.0186666667	0.1675	0.603	0.7423333333	0.8283	0.8966438356	0.6233333333	0.0644444444	0.4977777778
99	0	0.0186666667	0.166	0.6005	0.741	0.8258666667	0.8956849315	0.6196666667	0.0555555556	0.4888888889
100	0	0.0133333333	0.152	0.5955	0.74	0.8237666667	0.8945205479	0.6166666667	0.0466666667	0.4788888889
101	0	0.0133333333	0.144	0.5945	0.7393333333	0.8218333333	0.8934931507	0.6123333333	0.0377777778	0.4788888889
102	0	0.0093333333	0.135	0.5935	0.7336666667	0.8208333333	0.892260274	0.6086666667	0.0288888889	0.4788888889
103	0	0.008	0.1305	0.59	0.732	0.8190333333	0.891369863	0.604	0.0222222222	0.4777777778
104	0	0.0066666667	0.1235	0.589	0.7293333333	0.8174	0.8902054795	0.602	0.0155555556	0.47
105	0	0.0066666667	0.12	0.584	0.7286666667	0.8112333333	0.8891780822	0.6	0.0088888889	0.47
106	0	0.0053333333	0.1165	0.579	0.7263333333	0.8095333333	0.8880821918	0.598	0.0077777778	0.4677777778
107	0	0.0053333333	0.1095	0.572	0.725	0.8080333333	0.8869863014	0.5946666667	0.0044444444	0.4622222222
108	0	0.004	0.1075	0.5695	0.7196666667	0.8077666667	0.8859589041	0.5883333333	0.0011111111	0.4611111111
109	0	0.0013333333	0.102	0.5685	0.719	0.8063333333	0.885	0.5856666667	0	0.46
110	0	0.0013333333	0.0975	0.565	0.7183333333	0.8056666667	0.8840410959	0.5796666667	0	0.4588888889
111	0	0.0013333333	0.094	0.562	0.7103333333	0.8045666667	0.8832191781	0.577	0	0.4566666667
112	0	0.0013333333	0.092	0.559	0.7073333333	0.8044	0.8819863014	0.5716666667	0	0.4511111111
113	0	0.0013333333	0.0855	0.555	0.7066666667	0.7994	0.880890411	0.5676666667	0	0.4511111111
114	0	0.0013333333	0.0845	0.552	0.704	0.7973333333	0.8797260274	0.564	0	0.4477777778
115	0	0.0013333333	0.0805	0.5465	0.6986666667	0.7964333333	0.8786986301	0.562	0	0.4455555556
116	0	0.0006666667	0.0745	0.5435	0.698	0.7963333333	0.8775342466	0.5553333333	0	0.4444444444
117	0	0.0006666667	0.0705	0.541	0.6963333333	0.796	0.8766438356	0.552	0	0.4444444444
118	0	0.0006666667	0.067	0.5385	0.6956666667	0.7947666667	0.8756164384	0.5476666667	0	0.4388888889
119	0	0	0.064	0.5355	0.694	0.7944	0.8746575342	0.54	0	0.4355555556
120	0	0	0.0615	0.5295	0.691	0.7929333333	0.8734246575	0.5356666667	0	0.4322222222
121	0	0	0.0585	0.5255	0.6896666667	0.7924666667	0.8723287671	0.5316666667	0	0.4311111111
122	0	0	0.058	0.5225	0.687	0.7910666667	0.8710273973	0.528	0	0.4277777778
123	0	0	0.0525	0.519	0.6863333333	0.7910666667	0.8699315068	0.5256666667	0	0.4266666667
124	0	0	0.0495	0.5155	0.6853333333	0.7899	0.8688356164	0.5226666667	0	0.4233333333
125	0	0	0.0485	0.512	0.6836666667	0.7851333333	0.8678082192	0.5193333333	0	0.4233333333
126	0	0	0.0435	0.5105	0.6823333333	0.7843	0.8667808219	0.516	0	0.42
127	0	0	0.038	0.51	0.6793333333	0.7843	0.8657534247	0.5123333333	0	0.4122222222
