k	5.10	5.15	5.20	10.20	10.30	15.30	courses	sushi	skate	14.9
273	0	0	0	0.201	0.3816666667	0.5968	0.7129452055	0.1826666667	0	0.0844444444
274	0	0	0	0.1995	0.3786666667	0.5934666667	0.7119178082	0.1823333333	0	0.0822222222
275	0	0	0	0.1975	0.3776666667	0.5920666667	0.7106849315	0.182	0	0.0788888889
276	0	0	0	0.1965	0.3746666667	0.5897333333	0.7096575342	0.1816666667	0	0.0777777778
277	0	0	0	0.195	0.3733333333	0.5894333333	0.7085616438	0.181	0	0.0777777778
278	0	0	0	0.193	0.37	0.5894333333	0.7076027397	0.181	0	0.0777777778
279	0	0	0	0.19	0.3686666667	0.5884666667	0.7065753425	0.1803333333	0	0.0766666667
280	0	0	0	0.188	0.3676666667	0.5869333333	0.7056164384	0.1796666667	0	0.0755555556
281	0	0	0	0.185	0.3653333333	0.5830333333	0.7044520548	0.179	0	0.0733333333
282	0	0	0	0.1835	0.365	0.5824666667	0.7033561644	0.178	0	0.0733333333
283	0	0	0	0.18	0.3643333333	0.5824	0.7021232877	0.1773333333	0	0.0733333333
284	0	0	0	0.18	0.3626666667	0.5815666667	0.7010273973	0.177	0	0.0711111111
285	0	0	0	0.177	0.359	0.5814333333	0.7000684932	0.1763333333	0	0.0711111111
286	0	0	0	0.176	0.3576666667	0.5811	0.6990410959	0.1756666667	0	0.07
287	0	0	0	0.174	0.3556666667	0.5807666667	0.6980821918	0.1756666667	0	0.07
288	0	0	0	0.1715	0.3556666667	0.5779666667	0.6971917808	0.173	0	0.0677777778
289	0	0	0	0.17	0.3546666667	0.5751	0.6962328767	0.1726666667	0	0.0666666667
290	0	0	0	0.1685	0.3546666667	0.5744333333	0.6949315068	0.171	0	0.0655555556
291	0	0	0	0.1655	0.3536666667	0.5742666667	0.6939041096	0.1703333333	0	0.0655555556
292	0	0	0	0.1635	0.3523333333	0.5739333333	0.6929452055	0.1693333333	0	0.0644444444
293	0	0	0	0.1615	0.3516666667	0.5735333333	0.6917808219	0.1686666667	0	0.0644444444
294	0	0	0	0.16	0.3503333333	0.5731666667	0.6906849315	0.168	0	0.0633333333
295	0	0	0	0.1585	0.3496666667	0.5727	0.6895205479	0.1673333333	0	0.0622222222
296	0	0	0	0.155	0.348	0.5691666667	0.6886986301	0.166	0	0.0622222222
297	0	0	0	0.154	0.3453333333	0.5688333333	0.687739726	0.165	0	0.0622222222
298	0	0	0	0.154	0.344	0.5646	0.6866438356	0.163	0	0.0611111111
299	0	0	0	0.1515	0.3436666667	0.5632666667	0.6855479452	0.162	0	0.06
300	0	0	0	0.1505	0.3426666667	0.562	0.6845890411	0.16	0	0.06
301	0	0	0	0.149	0.341	0.5601333333	0.6834931507	0.1576666667	0	0.0588888889
302	0	0	0	0.1465	0.34	0.5594666667	0.682260274	0.1556666667	0	0.0588888889
303	0	0	0	0.146	0.339	0.5587	0.6812328767	0.1543333333	0	0.0577777778
304	0	0	0	0.145	0.3383333333	0.5566333333	0.6801369863	0.153	0	0.0577777778
305	0	0	0	0.144	0.3383333333	0.5556333333	0.6790410959	0.151	0	0.0566666667
306	0	0	0	0.1425	0.338	0.5552666667	0.6780136986	0.149	0	0.0566666667
307	0	0	0	0.1415	0.335	0.5547333333	0.6768493151	0.147	0	0.0555555556
308	0	0	0	0.141	0.334	0.5521666667	0.6759589041	0.1446666667	0	0.0533333333
309	0	0	0	0.1375	0.3326666667	0.5512	0.6747945205	0.142	0	0.0533333333
310	0	0	0	0.137	0.332	0.5503666667	0.6737671233	0.1396666667	0	0.0522222222
311	0	0	0	0.135	0.3316666667	0.5501	0.672739726	0.138	0	0.0511111111
312	0	0	0	0.1335	0.329	0.5487666667	0.6720547945	0.136	0	0.0511111111
313	0	0	0	0.132	0.3256666667	0.5484333333	0.6706849315	0.1336666667	0	0.05
314	0	0	0	0.1315	0.3243333333	0.5475333333	0.6698630137	0.132	0	0.0488888889
315	0	0	0	0.1305	0.324	0.5465333333	0.668630137	0.1296666667	0	0.0477777778
316	0	0	0	0.1305	0.3233333333	0.5463666667	0.667739726	0.1276666667	0	0.0477777778
317	0	0	0	0.129	0.322	0.5446333333	0.6664383562	0.1256666667	0	0.0466666667
318	0	0	0	0.128	0.321	0.5435666667	0.6654109589	0.1236666667	0	0.0444444444
319	0	0	0	0.127	0.32	0.5425666667	0.6643150685	0.1216666667	0	0.0444444444
320	0	0	0	0.1265	0.32	0.5407	0.6631506849	0.1196666667	0	0.0433333333
321	0	0	0	0.125	0.319	0.5407	0.6619863014	0.118	0	0.0433333333
322	0	0	0	0.1205	0.3173333333	0.5398666667	0.6612328767	0.116	0	0.0422222222
323	0	0	0	0.1185	0.316	0.5395	0.6600684932	0.114	0	0.0411111111
324	0	0	0	0.1185	0.3146666667	0.5384	0.6591780822	0.111	0	0.04
325	0	0	0	0.117	0.3146666667	0.5379666667	0.6578767123	0.1076666667	0	0.0377777778
326	0	0	0	0.1165	0.3123333333	0.5366	0.6566438356	0.106	0	0.0377777778
327	0	0	0	0.116	0.3116666667	0.5358666667	0.6556164384	0.1033333333	0	0.0366666667
328	0	0	0	0.1155	0.311	0.535	0.6547260274	0.1006666667	0	0.0366666667
329	0	0	0	0.1145	0.31	0.534	0.6536986301	0.0986666667	0	0.0355555556
330	0	0	0	0.1115	0.3086666667	0.5324	0.652739726	0.0966666667	0	0.0344444444
331	0	0	0	0.111	0.3073333333	0.5318333333	0.6516438356	0.0943333333	0	0.0344444444
332	0	0	0	0.111	0.306	0.5304666667	0.6506164384	0.0923333333	0	0.0344444444
333	0	0	0	0.1105	0.3033333333	0.5300333333	0.6496575342	0.0906666667	0	0.0333333333
334	0	0	0	0.109	0.3023333333	0.5293	0.6482876712	0.0876666667	0	0.0333333333
335	0	0	0	0.1085	0.3016666667	0.5267	0.647260274	0.0846666667	0	0.0333333333
336	0	0	0	0.107	0.301	0.5266666667	0.6462328767	0.0826666667	0	0.0333333333
337	0	0	0	0.1055	0.2993333333	0.5256	0.6451369863	0.0803333333	0	0.0333333333
338	0	0	0	0.104	0.2983333333	0.5251333333	0.6441780822	0.078	0	0.0322222222
339	0	0	0	0.101	0.2966666667	0.5244666667	0.6430821918	0.0766666667	0	0.0322222222
340	0	0	0	0.1	0.295	0.524	0.6420547945	0.0753333333	0	0.0322222222
341	0	0	0	0.0995	0.2946666667	0.5229333333	0.6410958904	0.0726666667	0	0.0322222222
342	0	0	0	0.0985	0.2936666667	0.5211	0.6398630137	0.07	0	0.0311111111
343	0	0	0	0.098	0.293	0.5209333333	0.638630137	0.069	0	0.0311111111
344	0	0	0	0.0965	0.292	0.5207	0.6376027397	0.0673333333	0	0.0311111111
345	0	0	0	0.096	0.292	0.5198	0.6364383562	0.0663333333	0	0.0311111111
346	0	0	0	0.094	0.291	0.5186	0.6356164384	0.0653333333	0	0.0311111111
347	0	0	0	0.093	0.29	0.5174666667	0.6343835616	0.0636666667	0	0.0311111111
348	0	0	0	0.091	0.2893333333	0.5172	0.6335616438	0.061	0	0.0311111111
349	0	0	0	0.0895	0.2863333333	0.5168333333	0.6326027397	0.0586666667	0	0.0311111111
350	0	0	0	0.088	0.2856666667	0.5165666667	0.6315068493	0.0563333333	0	0.0311111111
351	0	0	0	0.0875	0.2826666667	0.5164	0.6304109589	0.0546666667	0	0.03
352	0	0	0	0.0855	0.2826666667	0.5149333333	0.6291780822	0.0536666667	0	0.03
353	0	0	0	0.083	0.2826666667	0.5120666667	0.6281506849	0.0513333333	0	0.03
354	0	0	0	0.0815	0.2816666667	0.5113333333	0.6271917808	0.0493333333	0	0.03
355	0	0	0	0.079	0.281	0.5113333333	0.6260273973	0.0476666667	0	0.03
356	0	0	0	0.078	0.2793333333	0.5108666667	0.625	0.046	0	0.0288888889
357	0	0	0	0.0755	0.2776666667	0.5099666667	0.6239726027	0.0446666667	0	0.0288888889
358	0	0	0	0.0745	0.2766666667	0.5094666667	0.6229452055	0.043	0	0.0288888889
359	0	0	0	0.0735	0.276	0.5093666667	0.6218493151	0.041	0	0.0288888889
360	0	0	0	0.0735	0.2746666667	0.5089333333	0.6209589041	0.0356666667	0	0.0277777778
361	0	0	0	0.0715	0.2743333333	0.5081666667	0.6198630137	0.0333333333	0	0.0277777778
362	0	0	0	0.0715	0.273	0.5059666667	0.6189726027	0.0306666667	0	0.0266666667
363	0	0	0	0.0705	0.2723333333	0.5045666667	0.6178082192	0.0286666667	0	0.0266666667
364	0	0	0	0.067	0.2693333333	0.5038	0.6169178082	0.0276666667	0	0.0266666667
365	0	0	0	0.0655	0.269	0.5029333333	0.615890411	0.0263333333	0	0.0266666667
366	0	0	0	0.0645	0.2666666667	0.5025333333	0.6147260274	0.025	0	0.0244444444
367	0	0	0	0.063	0.266	0.5016	0.613630137	0.0233333333	0	0.0233333333
368	0	0	0	0.062	0.265	0.501	0.6126027397	0.022	0	0.0233333333
369	0	0	0	0.062	0.2633333333	0.4995333333	0.6113013699	0.0196666667	0	0.0233333333
370	0	0	0	0.0615	0.263	0.4984	0.6102739726	0.0163333333	0	0.0233333333
371	0	0	0	0.061	0.262	0.4974	0.6090410959	0.014	0	0.0222222222
372	0	0	0	0.061	0.261	0.4963333333	0.6082191781	0.0113333333	0	0.0222222222
373	0	0	0	0.0595	0.2596666667	0.4950333333	0.6071232877	0.0106666667	0	0.0188888889
374	0	0	0	0.0585	0.258	0.4947	0.6059589041	0.01	0	0.0188888889
375	0	0	0	0.057	0.2543333333	0.4937333333	0.6047945205	0.009	0	0.0188888889
376	0	0	0	0.054	0.2516666667	0.4929666667	0.6040410959	0.008	0	0.0177777778
377	0	0	0	0.053	0.2503333333	0.4924333333	0.6026712329	0.0073333333	0	0.0177777778
378	0	0	0	0.052	0.2493333333	0.4903	0.6017808219	0.0066666667	0	0.0177777778
379	0	0	0	0.0505	0.2483333333	0.4895	0.6006164384	0.006	0	0.0177777778
380	0	0	0	0.049	0.247	0.4882333333	0.5997260274	0.0046666667	0	0.0177777778
381	0	0	0	0.0475	0.2463333333	0.4865333333	0.5985616438	0.0036666667	0	0.0177777778
382	0	0	0	0.047	0.2446666667	0.4860666667	0.5973972603	0.0033333333	0	0.0177777778
383	0	0	0	0.0455	0.244	0.4856	0.5962328767	0.0023333333	0	0.0166666667
384	0	0	0	0.0435	0.2436666667	0.4845666667	0.5952054795	0.0016666667	0	0.0166666667
385	0	0	0	0.041	0.2426666667	0.4829	0.5939726027	0.0013333333	0	0.0166666667
386	0	0	0	0.04	0.2423333333	0.4824666667	0.5931506849	0.0013333333	0	0.0166666667
387	0	0	0	0.0395	0.2413333333	0.4805	0.5921232877	0.0013333333	0	0.0166666667
388	0	0	0	0.0375	0.2396666667	0.4805	0.5912328767	0.0013333333	0	0.0166666667
389	0	0	0	0.037	0.239	0.4798666667	0.5901369863	0.001	0	0.0166666667
390	0	0	0	0.037	0.2373333333	0.4791	0.5890410959	0.0006666667	0	0.0155555556
391	0	0	0	0.037	0.2356666667	0.4783666667	0.5880821918	0.0003333333	0	0.0155555556
392	0	0	0	0.0365	0.235	0.4771	0.5869863014	0	0	0.0155555556
393	0	0	0	0.036	0.233	0.4755	0.5857534247	0	0	0.0144444444
394	0	0	0	0.0355	0.233	0.475	0.585	0	0	0.0144444444
395	0	0	0	0.034	0.2313333333	0.4741	0.5838356164	0	0	0.0144444444
396	0	0	0	0.0335	0.2303333333	0.4736333333	0.5828767123	0	0	0.0144444444
397	0	0	0	0.033	0.2286666667	0.4725	0.5816438356	0	0	0.0144444444
398	0	0	0	0.032	0.2266666667	0.4714666667	0.5805479452	0	0	0.0144444444
399	0	0	0	0.031	0.2253333333	0.4707	0.5795205479	0	0	0.0133333333
400	0	0	0	0.031	0.2233333333	0.4692666667	0.5783561644	0	0	0.0122222222
401	0	0	0	0.0305	0.223	0.4675666667	0.5773287671	0	0	0.0122222222
402	0	0	0	0.0285	0.2213333333	0.4665333333	0.5765068493	0	0	0.01
403	0	0	0	0.028	0.221	0.4654333333	0.5753424658	0	0	0.01
404	0	0	0	0.0275	0.22	0.4646666667	0.5743835616	0	0	0.01
405	0	0	0	0.0265	0.2183333333	0.4638333333	0.5732191781	0	0	0.0088888889
406	0	0	0	0.026	0.2173333333	0.4632	0.5720547945	0	0	0.0066666667
407	0	0	0	0.025	0.2163333333	0.4619333333	0.5710273973	0	0	0.0066666667
408	0	0	0	0.0245	0.2156666667	0.4597333333	0.5698630137	0	0	0.0066666667
409	0	0	0	0.0235	0.2153333333	0.4588333333	0.5687671233	0	0	0.0066666667
410	0	0	0	0.0235	0.214	0.4567666667	0.5678767123	0	0	0.0066666667
411	0	0	0	0.0225	0.213	0.4548666667	0.5667123288	0	0	0.0066666667
412	0	0	0	0.0215	0.2123333333	0.4528666667	0.5655479452	0	0	0.0066666667
413	0	0	0	0.0215	0.21	0.4523	0.5645205479	0	0	0.0055555556
414	0	0	0	0.0205	0.21	0.4504333333	0.5633561644	0	0	0.0055555556
415	0	0	0	0.019	0.209	0.4503666667	0.5623287671	0	0	0.0055555556
416	0	0	0	0.018	0.2083333333	0.4491333333	0.561369863	0	0	0.0055555556
417	0	0	0	0.018	0.2076666667	0.448	0.5604109589	0	0	0.0044444444
418	0	0	0	0.0165	0.2063333333	0.4458333333	0.5593835616	0	0	0.0044444444
419	0	0	0	0.0155	0.206	0.4450333333	0.5582191781	0	0	0.0044444444
420	0	0	0	0.015	0.2053333333	0.4435333333	0.557260274	0	0	0.0044444444
421	0	0	0	0.0135	0.2036666667	0.4418333333	0.5561643836	0	0	0.0044444444
422	0	0	0	0.0135	0.2036666667	0.4407666667	0.5549315068	0	0	0.0044444444
423	0	0	0	0.013	0.2036666667	0.4403	0.5540410959	0	0	0.0044444444
424	0	0	0	0.0125	0.2026666667	0.4390666667	0.5530821918	0	0	0.0033333333
425	0	0	0	0.0115	0.202	0.4372666667	0.5518493151	0	0	0.0033333333
426	0	0	0	0.0105	0.2006666667	0.4364333333	0.5510958904	0	0	0.0022222222
427	0	0	0	0.0105	0.2003333333	0.4352	0.55	0	0	0.0022222222
428	0	0	0	0.0095	0.2003333333	0.4345	0.5487671233	0	0	0.0022222222
429	0	0	0	0.0085	0.1983333333	0.4337666667	0.5476712329	0	0	0.0011111111
430	0	0	0	0.0085	0.197	0.4333333333	0.5466438356	0	0	0.0011111111
431	0	0	0	0.008	0.1963333333	0.4327666667	0.5453424658	0	0	0.0011111111
432	0	0	0	0.0075	0.1953333333	0.4325	0.5444520548	0	0	0.0011111111
433	0	0	0	0.0075	0.194	0.4317333333	0.5434931507	0	0	0.0011111111
434	0	0	0	0.0055	0.193	0.4314333333	0.5423972603	0	0	0.0011111111
435	0	0	0	0.004	0.192	0.4309666667	0.5414383562	0	0	0.0011111111
436	0	0	0	0.0035	0.1906666667	0.4301333333	0.5403424658	0	0	0.0011111111
437	0	0	0	0.003	0.1886666667	0.4296	0.5393150685	0	0	0.0011111111
438	0	0	0	0.003	0.188	0.429	0.5382876712	0	0	0.0011111111
439	0	0	0	0.003	0.1866666667	0.4280666667	0.5371232877	0	0	0.0011111111
440	0	0	0	0.003	0.1863333333	0.4279333333	0.5362328767	0	0	0.0011111111
441	0	0	0	0.003	0.1846666667	0.4273333333	0.5352054795	0	0	0.0011111111
442	0	0	0	0.003	0.184	0.4267333333	0.5341780822	0	0	0.0011111111
443	0	0	0	0.0025	0.1833333333	0.426	0.5332191781	0	0	0.0011111111
444	0	0	0	0.002	0.183	0.4245	0.5319863014	0	0	0.0011111111
445	0	0	0	0.002	0.182	0.4239333333	0.5308219178	0	0	0.0011111111
446	0	0	0	0.002	0.1806666667	0.4231	0.5297945205	0	0	0.0011111111
447	0	0	0	0.002	0.1796666667	0.4224666667	0.5286986301	0	0	0.0011111111
448	0	0	0	0.002	0.1793333333	0.4222333333	0.5278082192	0	0	0.0011111111
449	0	0	0	0.002	0.1786666667	0.4208	0.5267123288	0	0	0.0011111111
450	0	0	0	0.002	0.1786666667	0.4202333333	0.5256849315	0	0	0.0011111111
451	0	0	0	0.0015	0.1776666667	0.4195	0.5245890411	0	0	0.0011111111
452	0	0	0	0.0015	0.1756666667	0.4182	0.5237671233	0	0	0.0011111111
453	0	0	0	0.0015	0.1746666667	0.4173666667	0.5225342466	0	0	0.0011111111
454	0	0	0	0.0015	0.1723333333	0.4154	0.5215068493	0	0	0.0011111111
455	0	0	0	0.0015	0.172	0.4146333333	0.5203424658	0	0	0.0011111111
456	0	0	0	0.0015	0.1716666667	0.4142666667	0.5195205479	0	0	0.0011111111
457	0	0	0	0.001	0.17	0.4131333333	0.5184931507	0	0	0.0011111111
458	0	0	0	0.001	0.1686666667	0.4124	0.5173972603	0	0	0.0011111111
459	0	0	0	0.001	0.1676666667	0.4122333333	0.516369863	0	0	0.0011111111
460	0	0	0	0.001	0.1673333333	0.4118666667	0.5154109589	0	0	0.0011111111
461	0	0	0	0.001	0.167	0.4116	0.514109589	0	0	0.0011111111
462	0	0	0	0.001	0.1666666667	0.4105666667	0.5131506849	0	0	0.0011111111
463	0	0	0	0.0005	0.1656666667	0.4105	0.512260274	0	0	0.0011111111
464	0	0	0	0	0.1643333333	0.4088	0.5110958904	0	0	0.0011111111
465	0	0	0	0	0.1616666667	0.4081333333	0.5099315068	0	0	0.0011111111
466	0	0	0	0	0.161	0.4073	0.5088356164	0	0	0.0011111111
467	0	0	0	0	0.1603333333	0.4066666667	0.5076712329	0	0	0.0011111111
468	0	0	0	0	0.158	0.4060666667	0.5068493151	0	0	0.0011111111
469	0	0	0	0	0.1563333333	0.4054333333	0.5055479452	0	0	0.0011111111
470	0	0	0	0	0.1556666667	0.4043666667	0.5047945205	0	0	0.0011111111
471	0	0	0	0	0.1546666667	0.4035666667	0.5037671233	0	0	0.0011111111
472	0	0	0	0	0.1546666667	0.4034333333	0.5028082192	0	0	0.0011111111
473	0	0	0	0	0.1543333333	0.4029666667	0.5016438356	0	0	0.0011111111
474	0	0	0	0	0.1543333333	0.4018666667	0.5004794521	0	0	0.0011111111
475	0	0	0	0	0.1536666667	0.4011666667	0.4995890411	0	0	0
476	0	0	0	0	0.152	0.4000333333	0.4984246575	0	0	0
477	0	0	0	0	0.1506666667	0.3988333333	0.4973287671	0	0	0
478	0	0	0	0	0.1493333333	0.3984666667	0.496369863	0	0	0
479	0	0	0	0	0.1476666667	0.3973333333	0.4953424658	0	0	0
480	0	0	0	0	0.1476666667	0.3968666667	0.4944520548	0	0	0
481	0	0	0	0	0.147	0.3959	0.4932876712	0	0	0
482	0	0	0	0	0.1456666667	0.3948	0.4921917808	0	0	0
483	0	0	0	0	0.1436666667	0.3938333333	0.4911643836	0	0	0
484	0	0	0	0	0.1416666667	0.3927333333	0.4900684932	0	0	0
485	0	0	0	0	0.1413333333	0.3922666667	0.4888356164	0	0	0
486	0	0	0	0	0.1396666667	0.3914	0.4876712329	0	0	0
487	0	0	0	0	0.1383333333	0.3909333333	0.4866438356	0	0	0
488	0	0	0	0	0.1376666667	0.3900333333	0.4856849315	0	0	0
489	0	0	0	0	0.1366666667	0.3888	0.4845890411	0	0	0
490	0	0	0	0	0.136	0.3874	0.4834931507	0	0	0
491	0	0	0	0	0.1336666667	0.3870333333	0.4823287671	0	0	0
492	0	0	0	0	0.133	0.3855666667	0.4814383562	0	0	0
493	0	0	0	0	0.1326666667	0.3846	0.4804109589	0	0	0
494	0	0	0	0	0.1323333333	0.3839666667	0.4794520548	0	0	0
495	0	0	0	0	0.131	0.3835	0.4784931507	0	0	0
496	0	0	0	0	0.1303333333	0.3829666667	0.4775342466	0	0	0
497	0	0	0	0	0.1293333333	0.3822	0.4763013699	0	0	0
498	0	0	0	0	0.129	0.3814333333	0.4752739726	0	0	0
499	0	0	0	0	0.1286666667	0.381	0.474109589	0	0	0
500	0	0	0	0	0.1286666667	0.3805	0.4730821918	0	0	0
501	0	0	0	0	0.1286666667	0.3803666667	0.4719863014	0	0	0
502	0	0	0	0	0.126	0.3796	0.470890411	0	0	0
503	0	0	0	0	0.126	0.3792	0.4699315068	0	0	0
504	0	0	0	0	0.1253333333	0.3791333333	0.4689041096	0	0	0
505	0	0	0	0	0.125	0.3785333333	0.4678082192	0	0	0
506	0	0	0	0	0.124	0.3776333333	0.4667123288	0	0	0
507	0	0	0	0	0.1236666667	0.3769333333	0.4655479452	0	0	0
508	0	0	0	0	0.123	0.3769333333	0.4645205479	0	0	0
509	0	0	0	0	0.122	0.3759666667	0.4634246575	0	0	0
510	0	0	0	0	0.121	0.3753333333	0.4623287671	0	0	0
511	0	0	0	0	0.1206666667	0.3744333333	0.461369863	0	0	0
512	0	0	0	0	0.1176666667	0.3736	0.4605479452	0	0	0
513	0	0	0	0	0.117	0.3733666667	0.4591780822	0	0	0
514	0	0	0	0	0.117	0.3731333333	0.4582191781	0	0	0
515	0	0	0	0	0.116	0.3731333333	0.4569863014	0	0	0
516	0	0	0	0	0.1146666667	0.3725	0.4559589041	0	0	0
517	0	0	0	0	0.114	0.3716333333	0.4547945205	0	0	0
518	0	0	0	0	0.1123333333	0.3707	0.4537671233	0	0	0
519	0	0	0	0	0.111	0.3701	0.452739726	0	0	0
520	0	0	0	0	0.1103333333	0.3687	0.4517808219	0	0	0
521	0	0	0	0	0.1096666667	0.3679666667	0.4504794521	0	0	0
522	0	0	0	0	0.109	0.3671666667	0.4495890411	0	0	0
523	0	0	0	0	0.1083333333	0.3667	0.4483561644	0	0	0
524	0	0	0	0	0.1066666667	0.3657	0.4475342466	0	0	0
525	0	0	0	0	0.1043333333	0.3642666667	0.446369863	0	0	0
526	0	0	0	0	0.1023333333	0.3639	0.4454794521	0	0	0
527	0	0	0	0	0.1006666667	0.3638333333	0.4446575342	0	0	0
528	0	0	0	0	0.0986666667	0.362	0.4435616438	0	0	0
529	0	0	0	0	0.0976666667	0.3612	0.442260274	0	0	0
530	0	0	0	0	0.097	0.3606666667	0.441369863	0	0	0
531	0	0	0	0	0.0963333333	0.3601333333	0.4402054795	0	0	0
532	0	0	0	0	0.096	0.3587666667	0.4393835616	0	0	0
533	0	0	0	0	0.095	0.358	0.4380821918	0	0	0
534	0	0	0	0	0.0943333333	0.3568666667	0.4370547945	0	0	0
535	0	0	0	0	0.094	0.3565	0.4362328767	0	0	0
536	0	0	0	0	0.0923333333	0.3565	0.435	0	0	0
537	0	0	0	0	0.0916666667	0.3564333333	0.4336986301	0	0	0
538	0	0	0	0	0.0896666667	0.3549666667	0.4328767123	0	0	0
539	0	0	0	0	0.0886666667	0.3537333333	0.4315753425	0	0	0
540	0	0	0	0	0.088	0.3537333333	0.4307534247	0	0	0
541	0	0	0	0	0.0863333333	0.3527666667	0.4295205479	0	0	0
542	0	0	0	0	0.0853333333	0.3527666667	0.4286986301	0	0	0
543	0	0	0	0	0.0833333333	0.3521666667	0.4276712329	0	0	0
544	0	0	0	0	0.0833333333	0.3511333333	0.4266438356	0	0	0
545	0	0	0	0	0.0826666667	0.3508	0.4254794521	0	0	0
546	0	0	0	0	0.082	0.3506	0.4243835616	0	0	0
547	0	0	0	0	0.0803333333	0.3502333333	0.4232191781	0	0	0
548	0	0	0	0	0.079	0.3489333333	0.422260274	0	0	0
549	0	0	0	0	0.0776666667	0.3475666667	0.4212328767	0	0	0
550	0	0	0	0	0.0766666667	0.3463	0.4202739726	0	0	0
551	0	0	0	0	0.0763333333	0.3450666667	0.4192465753	0	0	0
552	0	0	0	0	0.0756666667	0.3442666667	0.4182876712	0	0	0
553	0	0	0	0	0.075	0.3437	0.4170547945	0	0	0
554	0	0	0	0	0.073	0.3430666667	0.415890411	0	0	0
555	0	0	0	0	0.0726666667	0.3430666667	0.4146575342	0	0	0
556	0	0	0	0	0.0726666667	0.3428	0.4138356164	0	0	0
557	0	0	0	0	0.0716666667	0.3425	0.4126712329	0	0	0
558	0	0	0	0	0.0713333333	0.342	0.4116438356	0	0	0
559	0	0	0	0	0.07	0.3416333333	0.4106164384	0	0	0
560	0	0	0	0	0.0693333333	0.3403	0.4095890411	0	0	0
561	0	0	0	0	0.069	0.3398666667	0.4084931507	0	0	0
562	0	0	0	0	0.0683333333	0.3392666667	0.4076027397	0	0	0
563	0	0	0	0	0.068	0.3383333333	0.4064383562	0	0	0
564	0	0	0	0	0.066	0.3376	0.4054109589	0	0	0
565	0	0	0	0	0.065	0.3376	0.4041780822	0	0	0
566	0	0	0	0	0.0646666667	0.3360333333	0.4031506849	0	0	0
567	0	0	0	0	0.0643333333	0.3357	0.4020547945	0	0	0
568	0	0	0	0	0.0633333333	0.3343333333	0.4010958904	0	0	0
569	0	0	0	0	0.0626666667	0.3331333333	0.4	0	0	0
570	0	0	0	0	0.0623333333	0.3323666667	0.3992465753	0	0	0
571	0	0	0	0	0.062	0.3316333333	0.3978767123	0	0	0
572	0	0	0	0	0.0613333333	0.3308666667	0.3969178082	0	0	0
573	0	0	0	0	0.06	0.3306333333	0.3956849315	0	0	0
574	0	0	0	0	0.0593333333	0.3297	0.3947945205	0	0	0
575	0	0	0	0	0.0576666667	0.3291333333	0.3939726027	0	0	0
576	0	0	0	0	0.0576666667	0.329	0.3928082192	0	0	0
577	0	0	0	0	0.0573333333	0.3287666667	0.3918493151	0	0	0
578	0	0	0	0	0.057	0.3285	0.3908219178	0	0	0
579	0	0	0	0	0.056	0.3284666667	0.3894520548	0	0	0
580	0	0	0	0	0.0556666667	0.3284666667	0.3884931507	0	0	0
581	0	0	0	0	0.055	0.3277666667	0.3873287671	0	0	0
582	0	0	0	0	0.0546666667	0.3275	0.3863013699	0	0	0
583	0	0	0	0	0.054	0.3271333333	0.3852054795	0	0	0
584	0	0	0	0	0.053	0.3267	0.3842465753	0	0	0
585	0	0	0	0	0.052	0.3252666667	0.3830136986	0	0	0
586	0	0	0	0	0.0506666667	0.3249333333	0.3819178082	0	0	0
587	0	0	0	0	0.05	0.3242333333	0.3806164384	0	0	0
588	0	0	0	0	0.0483333333	0.3242333333	0.3797945205	0	0	0
589	0	0	0	0	0.0476666667	0.3239666667	0.3786986301	0	0	0
590	0	0	0	0	0.047	0.3231	0.3778767123	0	0	0
591	0	0	0	0	0.0466666667	0.3231	0.3767123288	0	0	0
592	0	0	0	0	0.0463333333	0.3224333333	0.3757534247	0	0	0
593	0	0	0	0	0.0453333333	0.3221666667	0.3745890411	0	0	0
594	0	0	0	0	0.045	0.3209	0.3736986301	0	0	0
595	0	0	0	0	0.0446666667	0.3206666667	0.3726712329	0	0	0
596	0	0	0	0	0.0443333333	0.3206	0.3717123288	0	0	0
597	0	0	0	0	0.0436666667	0.3205	0.3703424658	0	0	0
598	0	0	0	0	0.0426666667	0.3198	0.3693150685	0	0	0
599	0	0	0	0	0.0416666667	0.3189333333	0.3681506849	0	0	0
600	0	0	0	0	0.0406666667	0.3184666667	0.367260274	0	0	0
601	0	0	0	0	0.0406666667	0.3181666667	0.3661643836	0	0	0
602	0	0	0	0	0.04	0.3178333333	0.3651369863	0	0	0
603	0	0	0	0	0.0396666667	0.3151333333	0.3641780822	0	0	0
604	0	0	0	0	0.0396666667	0.3136333333	0.3632876712	0	0	0
605	0	0	0	0	0.0396666667	0.3123	0.3620547945	0	0	0
606	0	0	0	0	0.039	0.3113	0.3609589041	0	0	0
607	0	0	0	0	0.038	0.3108666667	0.36	0	0	0
608	0	0	0	0	0.0373333333	0.3102	0.3589726027	0	0	0
609	0	0	0	0	0.037	0.3096	0.3578082192	0	0	0
610	0	0	0	0	0.0363333333	0.3089666667	0.3566438356	0	0	0
611	0	0	0	0	0.0363333333	0.3086333333	0.3554794521	0	0	0
612	0	0	0	0	0.0353333333	0.3080333333	0.3547260274	0	0	0
613	0	0	0	0	0.035	0.3066	0.3534246575	0	0	0
614	0	0	0	0	0.035	0.3062	0.3526712329	0	0	0
615	0	0	0	0	0.0336666667	0.3056	0.3515068493	0	0	0
